Time,CoCIN,CoCOUT,CoHIN,CoHOUT,ConCIN, ConCOUT, ConHIN, ConHOUT,SiCIN, SiCOUT, SiHIN, SiHOUT,MPCIN, MPCOUT,MPHIN, MPHOUT, BEND 1, BEND 3
1.001,7.193,22.686,38.841,28.076,7.232,23.847,38.705,23.533,7.575,14.406,37.481,29.546,7.436,24.488,37.692,26.141,0.561,0.533
2.001,7.193,22.655,38.81,28.014,7.201,23.847,38.642,23.47,7.607,14.406,37.45,29.515,7.436,24.425,37.63,26.079,0.561,0.533
3.001,7.193,22.592,38.747,27.951,7.201,23.784,38.579,23.407,7.481,14.438,37.418,29.452,7.404,24.394,37.567,25.985,0.561,0.532
4.001,7.193,22.561,38.716,27.92,7.201,23.721,38.485,23.345,7.575,14.469,37.355,29.421,7.404,24.331,37.504,25.923,0.562,0.531
5.002,7.224,22.498,38.653,27.857,7.232,23.658,38.422,23.282,7.575,14.438,37.292,29.39,7.436,24.3,37.379,25.861,0.561,0.531
6.002,7.193,22.466,38.621,27.763,7.232,23.564,38.39,23.251,7.544,14.501,37.229,29.327,7.404,24.237,37.285,25.798,0.562,0.53
7.002,7.224,22.372,38.527,27.701,7.201,23.501,38.296,23.188,7.607,14.501,37.198,29.296,7.436,24.206,37.191,25.674,0.562,0.53
8.002,7.224,22.34,38.496,27.669,7.232,23.406,38.233,23.157,7.575,14.532,37.135,29.264,7.404,24.175,37.066,25.58,0.562,0.53
9.002,7.193,22.309,38.433,27.607,7.232,23.406,38.107,23.094,7.607,14.532,37.104,29.202,7.373,24.175,37.003,25.518,0.561,0.528
10.002,7.193,22.278,38.37,27.544,7.264,23.344,37.981,23.063,7.575,14.532,37.041,29.17,7.436,24.143,36.877,25.424,0.561,0.528
11.003,7.224,22.215,38.307,27.544,7.201,23.312,37.887,23.031,7.575,14.564,36.946,29.139,7.404,24.112,36.752,25.362,0.561,0.527
